"Issue Type","Summary","Description","Priority","Epic Name","Epic Link","Story Points","Labels","Labels","Labels","Labels","Labels"
"Story","MILESTONE: end-to-end vertical slice working","The Week-4 milestone from the guide: React page -> NestJS API -> MongoDB -> Python ML
service -> recommendation rendered on screen.

The recommendation quality is irrelevant at this stage; the chain must exist. Everything
afterwards only swaps the model, never the architecture.

Acceptance criteria:
- Home page renders a recommendation rail sourced through the full chain.
- The ML service is genuinely called (visible in its logs), not stubbed in NestJS.
- Fallback verified: with the ML service stopped, the page still renders popular products.
- Screenshot and short screen recording attached for the report.","Highest","","EP6 M1 Recommendation Engine","8","milestone","M1","w4","",""
"Task","Event weighting and time-decay feature pipeline","Convert the raw event stream into implicit feedback.

Acceptance criteria:
- Weights applied: search 1, click 2, view 3 (+2 when dwellTimeSec > 30), wishlist 5,
  add_to_cart 8, purchase 15.
- Time decay applied: weight_final = weight * exp(-lambda * days_ago) with lambda ~ 0.05.
- Produces the user-item weight table used by CF and by user_profiles.
- Weighting table reproduced in the report.","Highest","","EP6 M1 Recommendation Engine","5","ml","M1","w7","",""
"Story","Level 1 content-based recommender (TF-IDF + cosine)","As a customer with little history I still want relevant suggestions.

Acceptance criteria:
- Corpus built from title + description + tags + brand + category.
- TF-IDF vectorised (max_features ~5000, English stop words); numeric attributes normalised
  and concatenated.
- Cosine similarity computed; only the top-50 neighbours per product are persisted (full
  matrix does not scale).
- Neighbours stored in MongoDB and refreshed when products change.
- Offline metrics recorded as the second row of the evaluation table.","Highest","","EP6 M1 Recommendation Engine","8","ml","M1","w7","",""
"Story","Similar-items endpoint and Similar Products API","As a customer on a product page I want to see similar products.

Acceptance criteria:
- POST /ml/similar-items returns ranked neighbours for a productId.
- GET /products/:id/similar and GET /recommendations/product/:id/related exposed by NestJS.
- Served from the precomputed neighbour cache, not computed per request.
- Out-of-stock and inactive products filtered out of results.","High","","EP6 M1 Recommendation Engine","5","ml","M1","w7","",""
"Story","Level 2 collaborative filtering with implicit ALS","As a customer I want recommendations based on what similar users bought.

Acceptance criteria:
- User-item CSR matrix built from the weighted implicit feedback.
- AlternatingLeastSquares trained (factors 64, regularization 0.05, iterations 20) as a
  starting configuration, then tuned.
- Recommendations exclude items the user already purchased.
- Training time and matrix sparsity recorded.
- Offline metrics recorded as the third row of the evaluation table.","Highest","","EP6 M1 Recommendation Engine","13","ml","M1","w8","",""
"Story","Item-item collaborative filtering for Customers Also Bought","As a customer I want to see what other buyers of this product also bought.

Acceptance criteria:
- Item-item cosine similarity computed over the transposed interaction matrix.
- Top-N co-purchase neighbours precomputed per product.
- Exposed through the related-products endpoint alongside content-based neighbours.
- Compared against content-based similarity in the report.","High","","EP6 M1 Recommendation Engine","8","ml","M1","w8","",""
"Story","Level 3 hybrid scoring and re-ranking - the project contribution","Combine the signals into the proposed model. This is the FYP contribution and must beat
every baseline.

Scoring:
  final_score = w1*CF + w2*Content + w3*CategoryAffinity + w4*Popularity + w5*Recency
                - penalty(already_purchased) - penalty(out_of_stock)
                + boost(price_in_user_range)

Acceptance criteria:
- Starting weights w1=0.40, w2=0.25, w3=0.20, w4=0.10, w5=0.05 implemented and configurable.
- Grid search performed over the weights; a weight-sensitivity table produced for the report.
- Penalties and boosts verified with unit tests.
- Beats the popularity baseline by >= 25% Precision@10 (proposal objective 1).","Highest","","EP6 M1 Recommendation Engine","13","ml","M1","hybrid","w9",""
"Task","Diversity re-ranking (MMR / category cap)","Stop the rail filling with near-identical products.

Acceptance criteria:
- MMR re-ranking or a max-3-items-per-category rule applied to the final list.
- Catalog coverage measured before and after; improvement reported.
- Diversity trade-off against precision documented.","Medium","","EP6 M1 Recommendation Engine","5","ml","M1","w9","",""
"Story","Cold-start handling strategies","A viva question that must have a demonstrable answer.

Acceptance criteria:
- New user with 0 events -> trending plus category best sellers, and a 3-interest onboarding prompt.
- New user with 1-3 views -> session-based content recommendations.
- New product -> content similarity plus a New Arrivals boost.
- Anonymous visitor -> anonId cookie tracking, merged into the user profile on login.
- Each case demonstrable in the running app and covered in docs/06-ml-design.md.","Highest","","EP6 M1 Recommendation Engine","8","ml","M1","cold-start","w9",""
"Task","Recommendation precompute batch job and cache collection","Serve recommendations from cache so the API stays fast.

Acceptance criteria:
- Nightly job writes one recommendations document per active user with items, scores,
  reasons, modelVersion and strategy.
- Unique index on userId; documents carry generatedAt and a TTL of 6-12 hours.
- NestJS reads the cache first and only calls ML live for session-based refreshes.
- Job runtime measured and acceptable for the seeded user base.","High","","EP6 M1 Recommendation Engine","5","ml","M1","w9","",""
"Task","Recommendation fallback chain in NestJS","Guarantee the site never renders an empty recommendation rail.

Acceptance criteria:
- Chain implemented: ML personalized -> cached recommendations -> category-affinity picks
  -> global popular.
- Each fallback level logged so degradation is observable.
- Verified by stopping the ML service and by wiping the cache.
- Reason label returned to the UI so the explanation badge stays truthful.","Highest","","EP6 M1 Recommendation Engine","5","backend","M1","resilience","w9",""
"Task","Anonymous visitor tracking and merge on login","Capture pre-login behaviour and keep it.

Acceptance criteria:
- anonId cookie issued on first visit and attached to all events.
- On login, anonymous events are re-attributed to the user id.
- Merge is idempotent and does not duplicate events.
- Session-based recommendations work for logged-out visitors.","Medium","","EP6 M1 Recommendation Engine","5","backend","M1","w9","",""
"Task","Nightly sales_daily aggregation pipeline in the backend","Keep the forecasting training table current from live orders.

Acceptance criteria:
- Aggregation over orders produces per-product per-day unitsSold, revenue, avgPrice, discountPct.
- Calendar flags recomputed; missing days filled with explicit zeros.
- Upsert keyed on {productId, date} so re-runs are safe.
- Runs nightly via the scheduler and is manually triggerable.","Highest","","EP7 M2 Demand Forecasting Engine","5","backend","M2","w10","",""
"Story","Level 0 forecasting baselines","Build the baselines that the proposed model must beat.

Acceptance criteria:
- Naive (last week average), moving average (7/14/28 day) and seasonal naive implemented.
- MAE and RMSE computed for each on the held-out period.
- Results recorded as the baseline rows of the forecasting evaluation table.
- Baseline code kept runnable for the report comparison.","Highest","","EP7 M2 Demand Forecasting Engine","5","ml","M2","baseline","w10",""
"Task","Time-based split and rolling-origin cross validation framework","Evaluate honestly - random splits on time series are the classic FYP failure.

Acceptance criteria:
- Temporal split implemented: train on the first 80% of days, test on the last 20%.
- Rolling-origin cross validation with 3-4 folds implemented and reused by every model.
- A leakage check asserts that no feature uses data from on or after the prediction date.
- The protocol is documented in docs/06-ml-design.md and used for all reported numbers.","Highest","","EP7 M2 Demand Forecasting Engine","8","ml","M2","evaluation","w10",""
"Story","Level 1 classical time series (SARIMA / Prophet)","Add the classical comparison models.

Acceptance criteria:
- SARIMA (statsmodels) fitted for products with sufficiently long history.
- Prophet configured with weekly and yearly seasonality plus custom Pakistani holidays
  (Ramzan, Eid) as holiday regressors.
- Both evaluated under the same rolling-origin protocol.
- Results added to the comparison table; per-model fit time recorded.","High","","EP7 M2 Demand Forecasting Engine","8","ml","M2","w11","",""
"Task","Feature table builder for the LightGBM model","Engineer the tabular features from sales_daily plus behaviour signals.

Feature groups:
- Lags: units_lag_1, 7, 14, 28
- Rolling: roll_mean_7, roll_mean_28, roll_std_7, roll_max_7
- Calendar: dayofweek, weekofyear, month, is_weekend, is_holiday, days_to_holiday
- Price: price, discount_pct, price_vs_28day_avg
- Promo: promo_flag, promo_intensity
- Product: categoryId, brand, price_band, product_age_days
- Behaviour: views_lag_7, cart_adds_lag_7 (strong signal and a differentiator for this project)

Acceptance criteria:
- All lag features correctly shifted so no future information leaks.
- Behaviour features joined from user_events aggregates.
- Feature importance plot produced after training.","Highest","","EP7 M2 Demand Forecasting Engine","8","ml","M2","w11","",""
"Story","Level 2 LightGBM global forecasting model","Train the proposed final model - one global model across all products.

Acceptance criteria:
- LGBMRegressor trained (n_estimators 800, learning_rate 0.05, num_leaves 63 as the starting
  point) with early stopping on a validation fold.
- Evaluated with the rolling-origin protocol; MAE, RMSE and MAPE reported per fold.
- Beats the naive baseline by >= 30% MAE (proposal objective 2).
- Model artifact versioned as lgbm_vN and loaded by the ML service.
- Feature importance and error analysis by category included.","Highest","","EP7 M2 Demand Forecasting Engine","13","ml","M2","w11","",""
"Task","Stock-out censoring handling","Zero sales during a stock-out is not zero demand - handling this properly is a strong
report point.

Acceptance criteria:
- Days with stockOutHours above a threshold are masked from training targets or flagged.
- Impact on MAE measured with and without the correction.
- Approach and the measured effect written into the methodology chapter.","High","","EP7 M2 Demand Forecasting Engine","5","ml","M2","w11","",""
"Story","Forecast endpoint and forecasts collection persistence","Serve the 30-day forecast to the admin dashboard.

Acceptance criteria:
- POST /ml/forecast returns predictions with date, predictedUnits, lower and upper bounds.
- Prediction intervals derived from residual spread.
- Results persisted to forecasts with generatedAt, horizonDays, totalPredicted, modelVersion
  and metrics {mae, rmse, mape}.
- GET /admin/forecast?productId=&days=30 exposed by NestJS with a cache-first read.","Highest","","EP7 M2 Demand Forecasting Engine","8","ml","M2","w11","",""
"Story","Stock risk scoring and reorder suggestion engine","As an admin I want to know what to restock and by how much.

Acceptance criteria:
- coverage = stock / predicted computed per product.
- Risk banding: < 0.7 HIGH, 0.7-1.0 MEDIUM, > 1.0 LOW.
- Reorder quantity = predicted + safety_stock (z * std_error) - stock.
- Results surfaced through GET /admin/forecast/alerts and written to stock_alerts.
- Worked example matching the guide reproduced in the report.","Highest","","EP7 M2 Demand Forecasting Engine","8","backend","M2","w12","",""
"Task","Daily forecast batch job","Regenerate forecasts on a schedule so the dashboard is never stale.

Acceptance criteria:
- Daily cron regenerates the 30-day horizon for all active products.
- Job logs duration, product count and the model version used.
- Failures raise an admin notification; the previous forecast remains readable.
- Manual trigger available through POST /admin/ml/retrain for the demo.","Medium","","EP7 M2 Demand Forecasting Engine","5","ml","M2","w12","",""
"Task","Nightly user_profiles computation","Build the interest profile that powers personalization and segmentation.

Acceptance criteria:
- categoryAffinity and brandAffinity computed from weighted, time-decayed events.
- priceRange {min, max, avg} derived from viewed and purchased products.
- lastActiveAt and updatedAt maintained.
- Job runs nightly in Python (pandas) and upserts into user_profiles.
- Affinity values verified as sane for a hand-checked sample user.","High","","EP8 M3 Customer Behavior Analytics","8","ml","M3","w13","",""
"Story","Customer segmentation","As an admin I want customers grouped into actionable segments.

Acceptance criteria:
- Segments assigned: new, window shopper, high intent, loyal, at risk.
- Rules (or clustering) documented with the thresholds used.
- Segment written to user_profiles.segment and refreshed nightly.
- Segment distribution charted for the report.","Medium","","EP8 M3 Customer Behavior Analytics","8","ml","M3","w13","",""
"Task","Funnel and behaviour aggregation pipelines","Produce the numbers behind the admin analytics screens.

Acceptance criteria:
- Funnel aggregation: views -> cart -> purchase with drop-off percentages.
- Top products, category-wise share, session duration distribution and cart abandonment rate.
- Implemented as MongoDB aggregation pipelines using the documented indexes.
- Query latency measured on the full seeded event volume.","Medium","","EP8 M3 Customer Behavior Analytics","8","backend","M3","w13","",""
"Story","Analytics API endpoints","Expose analytics to the admin dashboard.

Acceptance criteria:
- GET /admin/analytics/overview returns revenue, orders, AOV, conversion rate, active users
  and recommendation CTR.
- GET /admin/analytics/funnel returns the funnel stages with drop-off.
- GET /admin/analytics/segments returns segment counts and definitions.
- All routes admin-guarded; responses shaped for direct chart consumption.","Medium","","EP8 M3 Customer Behavior Analytics","5","backend","M3","w13","",""
"Task","Bootstrap React app with routing and layout","Set up the frontend shell.

Acceptance criteria:
- Vite + React + TypeScript project created; Tailwind, React Router, TanStack Query, axios
  and Recharts installed.
- Navbar, Footer, customer layout and admin layout implemented.
- Protected routes redirect unauthenticated users; admin routes reject customers.
- Shared axios instance with the base URL from environment variables.","Highest","","EP9 Frontend Customer App (React)","5","frontend","w3","","",""
"Story","Auth pages with token refresh interceptor","As a user I want to log in and stay logged in.

Acceptance criteria:
- Login and register pages with client-side validation and clear error states.
- Tokens stored safely; auth state available app-wide.
- Axios response interceptor refreshes on 401 and retries the original request once.
- Logout clears state and redirects.","High","","EP9 Frontend Customer App (React)","5","frontend","auth","w3","",""
"Story","Product listing page with filters, sort and pagination","As a customer I want to narrow the catalog down to what I want.

Acceptance criteria:
- Grid layout with category, price range and brand filters plus sorting.
- Pagination wired to the products API; filter state reflected in the URL.
- Skeleton loaders while fetching and an empty state when nothing matches.
- Product card clicks emit click events through the tracking helper.","High","","EP9 Frontend Customer App (React)","8","frontend","w4","","",""
"Story","Product detail page with Similar Products carousel","As a customer I want full product detail plus relevant alternatives.

Acceptance criteria:
- Images, specifications, price, stock status and add-to-cart implemented.
- Similar Products and Customers Also Bought carousels rendered from the recommendation API.
- A view event fires when the page is open for more than 3 seconds, carrying dwellTimeSec.
- Graceful rendering when recommendation data is unavailable.","High","","EP9 Frontend Customer App (React)","8","frontend","w4","","",""
"Story","Cart, checkout, order success and order history","As a customer I want to complete a purchase and review past orders.

Acceptance criteria:
- Cart page with quantity update, removal and server-computed totals.
- Checkout with address form and dummy/COD payment (real gateways are out of scope).
- Order success screen and My Orders history with status.
- Purchase events emitted per item on successful order placement.","High","","EP9 Frontend Customer App (React)","8","frontend","w5","","",""
"Story","Home page with Recommended For You and Trending","As a customer I want a personalized landing page.

Acceptance criteria:
- Hero section, Recommended For You rail, Trending rail and category tiles.
- Recommendations fetched through TanStack Query with loading and error states.
- Logged-out visitors see trending plus session-based suggestions instead of a blank rail.
- Rail impressions tracked so recommendation CTR can be measured later.","Highest","","EP9 Frontend Customer App (React)","8","frontend","M1","w6","",""
"Task","Recommendation explanation badges","Show why each product was recommended - a visible differentiator and easy marks.

Acceptance criteria:
- Badge rendered from the reason field (similar_users, content, popular).
- Human-readable copy, e.g. ""Because you viewed Gaming Laptops"".
- Badge text stays truthful when the fallback chain degrades to popular products.","Medium","","EP9 Frontend Customer App (React)","3","frontend","M1","w7","",""
"Story","Wishlist, profile and interest onboarding","As a new customer I want to declare interests so recommendations start useful.

Acceptance criteria:
- Wishlist page with add/remove; toggles emit wishlist events.
- Profile page allows editing the 3 selected interest categories.
- Interests feed the cold-start strategy for users with no history.","Medium","","EP9 Frontend Customer App (React)","5","frontend","w8","","",""
"Task","Event tracking helper wired across the app","Implement frontend/src/api/track.ts and call it from every meaningful action.

Acceptance criteria:
- track(eventType, payload) posts to /events with a sessionId and swallows errors so
  tracking never blocks the UI.
- Wired to: product card click, product detail view with dwell time, search submit,
  add/remove cart, wishlist toggle, order placed, rating submit.
- Verified by watching user_events fill during a manual walkthrough.","Highest","","EP9 Frontend Customer App (React)","5","frontend","tracking","w6","",""
"Task","Reusable component library and UX states","Build the shared components that keep the UI consistent.

Acceptance criteria:
- ProductCard, ProductCarousel, RecommendationSection, FilterSidebar, StatCard,
  ForecastChart, StockRiskBadge, EmptyState and Skeleton implemented.
- Loading skeletons, empty states and error boundaries used consistently.
- Components documented so the report can show the design system.","Medium","","EP9 Frontend Customer App (React)","8","frontend","w8","","",""
"Task","Responsive and accessibility pass","Make the app presentable on any screen during the demo.

Acceptance criteria:
- Customer pages usable at mobile, tablet and desktop widths.
- Admin tables scroll or collapse rather than breaking layout on small screens.
- Keyboard navigation and alt text on images; colour contrast checked.","Low","","EP9 Frontend Customer App (React)","5","frontend","w15","","",""
"Task","Admin layout and protected admin routing","Separate the admin console from the customer app.

Acceptance criteria:
- Admin shell with sidebar navigation to all eight admin screens.
- Routes guarded client-side and enforced server-side by the roles guard.
- Non-admin access attempts redirect cleanly.","High","","EP10 Admin Dashboard","3","frontend","admin","w12","",""
"Story","Overview KPI dashboard","As an admin I want the health of the business at a glance.

Acceptance criteria:
- KPI cards: total revenue, orders, AOV, conversion rate, active users, recommendation CTR.
- Data from GET /admin/analytics/overview with loading and error states.
- Date-range selector applied to all cards.","High","","EP10 Admin Dashboard","5","frontend","admin","w12","",""
"Story","Products management UI","As an admin I want to manage the catalog.

Acceptance criteria:
- Paginated, searchable product table with stock and status columns.
- Create and edit forms with validation, image handling and category selection.
- Activate/deactivate rather than hard delete.","Medium","","EP10 Admin Dashboard","8","frontend","admin","w12","",""
"Story","Orders management UI","As an admin I want to process orders.

Acceptance criteria:
- Order table with filters by status and date, and a detail drawer showing items.
- Status transitions triggerable from the UI and reflected for the customer.","Medium","","EP10 Admin Dashboard","5","frontend","admin","w12","",""
"Story","Sales analytics page","As an admin I want to understand sales performance.

Acceptance criteria:
- Revenue trend chart (daily/weekly), top 10 products, category share and the conversion
  funnel with drop-off percentages, all rendered with Recharts.
- Charts read directly from the analytics endpoints without client-side recomputation.","Medium","","EP10 Admin Dashboard","8","frontend","admin","w13","",""
"Story","Demand Forecast page - the project's star feature","As an admin I want to see predicted demand and act on it.

Acceptance criteria:
- Table with columns: Product, Stock, Predicted 30-day, Coverage, Risk, Suggested action.
- Chart overlaying past actual sales (solid), forecast (dashed) and the confidence band.
- Risk banding colour-coded (HIGH < 0.7, MEDIUM 0.7-1.0, LOW > 1.0).
- Model accuracy card showing MAE / RMSE / MAPE and last-trained timestamp.
- Product selector and horizon selector wired to the forecast API.
- Degrades to the last persisted forecast with a stale-data banner if ML is down.","Highest","","EP10 Admin Dashboard","13","frontend","admin","M2","w12",""
"Story","Inventory and stock alerts page","As an admin I want a prioritised restocking worklist.

Acceptance criteria:
- Active alerts listed with risk level, coverage and suggested reorder quantity.
- Sorted by urgency; alerts dismissible or markable as actioned.
- Links through to the product record.","Medium","","EP10 Admin Dashboard","5","frontend","admin","M2","w12",""
"Story","Customer segments page","As an admin I want to see who my customers are.

Acceptance criteria:
- Segment distribution chart plus a category interest heatmap.
- Session duration distribution and cart abandonment rate displayed.
- Drill-down list of users per segment.","Medium","","EP10 Admin Dashboard","8","frontend","admin","M3","w13",""
"Story","Recommendation performance page","As an admin I want to know whether the recommender actually works - this is the project's
online evaluation.

Acceptance criteria:
- Impressions, clicks, CTR and add-to-cart rate for recommended vs non-recommended products.
- Trend over time and breakdown by strategy (hybrid / content / popular).
- Numbers reusable directly in the evaluation chapter.","High","","EP10 Admin Dashboard","8","frontend","admin","M1","evaluation","w13"
"Story","Natural language query to structured filter","As a customer I want to ask for products in plain language.

Example: ""Mujhe 150,000 ke andar gaming laptop chahiye"" ->
{ category: ""laptop"", tags: [""gaming""], maxPrice: 150000 }

Acceptance criteria:
- LLM used with function calling / structured output to extract filters only - it must never
  invent products.
- Extraction schema validated; unparseable queries fall back to keyword search.
- Prompt and schema documented for the report.","Low","","EP11 M4 Generative AI Shopping Assistant","8","ml","M4","optional","w14",""
"Story","Assistant API with catalog guardrails","Keep the assistant honest.

Acceptance criteria:
- POST /assistant/query runs the extracted filters through the existing product search and
  recommendation ranking.
- Only real catalog products are returned; price and stock always read from the database.
- Rate limited and admin-observable.","Low","","EP11 M4 Generative AI Shopping Assistant","8","backend","M4","optional","w14",""
"Task","Explanation generation for the top results","Let the LLM do what it is good at: explaining, not retrieving.

Acceptance criteria:
- Top 3 products passed back to the LLM for a comparison and reasoning summary.
- Output constrained to the supplied product facts.
- Latency measured; response streamed or a typing state shown.","Low","","EP11 M4 Generative AI Shopping Assistant","5","ml","M4","optional","w14",""
"Story","Assistant chat UI","As a customer I want a chat interface for shopping help.

Acceptance criteria:
- Message list, input box, typing/streaming state and inline product cards.
- Errors and empty results handled with a helpful message.
- Conversation history retained for the session.","Low","","EP11 M4 Generative AI Shopping Assistant","8","frontend","M4","optional","w14",""
"Task","Rule-based NLU fallback for the no-API-budget path","Ensure M4 is demonstrable even without paid LLM access.

Acceptance criteria:
- Regex and keyword extraction for category, tags and price bounds.
- Same filter schema as the LLM path so the downstream code is unchanged.
- Documented in the report as a hybrid NLU approach.","Low","","EP11 M4 Generative AI Shopping Assistant","5","ml","M4","optional","w14",""
"Task","Offline recommendation evaluation harness","Build the reusable evaluation script every recommender model is scored with.

Acceptance criteria:
- Temporal split (last 20% of time) and leave-one-out (each user's last purchase) supported.
- Metrics implemented: Precision@10, Recall@10, MAP@10, NDCG@10, Hit Rate@10 and catalog Coverage.
- Runs from one command against any model and emits a comparison row.
- Unit tested against a small hand-computed fixture.","Highest","","EP12 Evaluation & Testing","8","evaluation","M1","w14","",""
"Task","Recommendation results comparison table","Produce the headline results table for the report.

Acceptance criteria:
- Rows: Popularity (baseline), Content-Based, Collaborative (ALS), Hybrid (proposed).
- Columns: Precision@10, Recall@10, NDCG@10, Coverage.
- Percentage improvement over baseline stated explicitly.
- Objective 1 (>= 25% Precision@10 improvement) confirmed met or the gap explained.","Highest","","EP12 Evaluation & Testing","5","evaluation","M1","docs","w14",""
"Task","Offline forecasting evaluation and comparison table","Score every forecasting model under an identical protocol.

Acceptance criteria:
- MAE, RMSE, MAPE and WAPE/sMAPE implemented; MAPE guarded against zero-sales days.
- Rows: Naive, Moving Average (7d), SARIMA/Prophet, LightGBM (proposed).
- Objective 2 (>= 30% MAE improvement over naive) confirmed met or the gap explained.
- All numbers produced by the rolling-origin protocol, never a random split.","Highest","","EP12 Evaluation & Testing","8","evaluation","M2","docs","w14",""
"Task","Forecast vs actual graphs and error analysis","Explain where the model is weak - examiners reward this.

Acceptance criteria:
- Forecast vs actual plots for a representative set of products.
- Error breakdown by category, price band and demand intermittency.
- Written analysis of which segments the model struggles with and why.","High","","EP12 Evaluation & Testing","5","evaluation","M2","docs","w14",""
"Task","Unit tests for NestJS services (Jest)","Cover the logic that would silently corrupt results.

Acceptance criteria:
- Tests for auth, order stock decrement, event validation, ML client fallback and
  risk/reorder calculation.
- Suite runs in CI and passes from a clean checkout.
- Coverage summary captured for the report appendix.","Medium","","EP12 Evaluation & Testing","8","testing","backend","w15","",""
"Task","Unit tests for the ML service (pytest)","Cover feature engineering and scoring.

Acceptance criteria:
- Tests for event weighting and time decay, lag feature shifting (leakage guard),
  hybrid score composition and metric implementations.
- pytest passes from a clean venv.","Medium","","EP12 Evaluation & Testing","5","testing","ml","w15","",""
"Task","Integration test of the full purchase flow","Prove the chain works end to end.

Acceptance criteria:
- Automated flow: register -> login -> browse -> add to cart -> place order -> order appears
  in history -> purchase events written.
- Runs against a test database and cleans up after itself.","Medium","","EP12 Evaluation & Testing","5","testing","w15","","",""
"Task","Postman API collection","Package the API for demonstration and the report appendix.

Acceptance criteria:
- Collection covering every public endpoint plus auth token handling via environment variables.
- Example requests and responses saved.
- Screenshots exported for the appendix.","Medium","","EP12 Evaluation & Testing","3","testing","docs","w15","",""
"Task","Performance test of the recommendation API","Validate the non-functional target.

Acceptance criteria:
- Load test at 100 concurrent users against GET /recommendations/me.
- p95 latency < 500ms with the cache warm; results recorded with and without cache.
- Bottlenecks identified and either fixed or documented as future work.","Medium","","EP12 Evaluation & Testing","5","testing","performance","w15","",""
"Task","Usability study with 8-10 participants","Add a human evaluation dimension to the report.

Acceptance criteria:
- 8-10 participants complete a scripted set of tasks.
- 5-point questionnaire administered and the SUS score computed.
- Qualitative feedback themed; at least the top issues fixed before submission.","Low","","EP12 Evaluation & Testing","5","testing","evaluation","w15","",""
"Task","Online evaluation: recommendation CTR tracking","Measure the recommender in production, not just offline.

Acceptance criteria:
- Impressions and clicks recorded per recommendation rail with the strategy label.
- CTR and add-to-cart rate compared for recommended vs non-recommended products.
- Results feed the admin recommendation performance page and the evaluation chapter.","High","","EP12 Evaluation & Testing","5","evaluation","M1","w15","",""
"Task","Docker Compose for local development","One command to bring the whole stack up.

Acceptance criteria:
- docker-compose.yml defines mongo, ml, backend (and optionally redis) with a persistent
  mongo volume.
- docker compose up starts everything and the frontend can talk to the backend.
- Documented in the README.","Medium","","EP13 Deployment & DevOps","5","devops","w15","","",""
"Task","MongoDB Atlas setup and data migration","Move from local MongoDB to a hosted cluster.

Acceptance criteria:
- Atlas M0 cluster created with IP allowlist and a least-privilege database user.
- Indexes recreated on the cluster.
- Seed data loaded and verified from the deployed backend.","Medium","","EP13 Deployment & DevOps","3","devops","w15","","",""
"Task","Deploy the NestJS backend","Publish the API.

Acceptance criteria:
- Deployed to Render/Railway/Fly.io with environment variables configured.
- Health endpoint reachable over HTTPS; CORS limited to the frontend origin.
- Deployment steps documented for reproducibility.","Medium","","EP13 Deployment & DevOps","5","devops","w15","","",""
"Task","Deploy the React frontend","Publish the customer and admin apps.

Acceptance criteria:
- Deployed to Vercel/Netlify with the production API base URL.
- SPA routing fallback configured so deep links work.
- Live URL recorded in the report.","Medium","","EP13 Deployment & DevOps","3","devops","w15","","",""
"Task","Deploy the Python ML service","Publish the ML microservice privately.

Acceptance criteria:
- Dockerised and deployed to Render/Railway/Hugging Face Spaces.
- Not publicly callable without the API key.
- Model artifacts stored on a persistent volume or object storage, not baked into ephemeral disk.
- Cold-start behaviour measured and acceptable.","Medium","","EP13 Deployment & DevOps","8","devops","ml","w15","",""
"Task","Scheduled jobs in production","Automate retraining and aggregation on the deployed system.

Acceptance criteria:
- Render cron or a scheduled GitHub Actions workflow runs nightly aggregation, profile
  refresh, recommendation precompute and the daily forecast batch.
- Job outcomes logged and visible; failures alert the team.","Medium","","EP13 Deployment & DevOps","5","devops","w15","","",""
"Task","Production seed data load and demo readiness","An empty site demos badly.

Acceptance criteria:
- Catalog, users, events, sales history, recommendations and forecasts all populated in production.
- Demo accounts (customer and admin) verified working.
- A scripted demo walkthrough rehearsed against the live URLs.","High","","EP13 Deployment & DevOps","3","devops","demo","w16","",""
"Task","Software Requirements Specification (SRS)","Write docs/02-srs.md.

Acceptance criteria:
- Functional requirements derived from the use cases and module list.
- Non-functional requirements including the latency, availability and fallback targets from
  the architecture ticket.
- Traceability from each objective to the requirements that satisfy it.","High","","EP14 Documentation & FYP Report","8","docs","w14","","",""
"Task","Evaluation results document","Write docs/07-evaluation-results.md.

Acceptance criteria:
- Both comparison tables (recommendation and forecasting) with improvement percentages.
- Forecast vs actual graphs, weight sensitivity table and coverage/diversity discussion.
- Online CTR results and the usability/SUS score.
- Every number traceable to a script or notebook that reproduces it.","Highest","","EP14 Documentation & FYP Report","8","docs","evaluation","w15","",""
"Task","Final report chapters 1-8","Assemble the report using the chapter mapping from the guide.

Chapter sources:
1 Introduction - scope and the over/under-stock problem
2 Literature review - 12-20 papers on CF/content/hybrid recommenders and ARIMA/Prophet/GBDT forecasting
3 Requirements - SRS and use cases
4 System design - architecture, database, API, UI, sequence diagrams
5 Methodology - ML design, features, algorithms, training protocol
6 Implementation - code walkthrough and screenshots
7 Results and evaluation - the evaluation document
8 Conclusion and future work - cold start, synthetic data, real-time streaming limits

Acceptance criteria:
- All chapters drafted, cross-referenced and proofread.
- Every claim backed by a figure, table or screenshot from the repository.","Highest","","EP14 Documentation & FYP Report","13","docs","w16","","",""
"Task","Presentation slides","Build the defence deck.

Acceptance criteria:
- Narrative: problem -> solution -> architecture -> demo -> results -> future work.
- Architecture diagram, both results tables and the forecast dashboard screenshot included.
- Timed to the allotted slot in a rehearsal.","High","","EP14 Documentation & FYP Report","5","docs","w16","","",""
"Task","Record a backup demo video","Insurance against live-demo failure.

Acceptance criteria:
- Full walkthrough recorded: signup, browse, search, product detail with similar products,
  cart, order, personalized home page, admin analytics and the demand forecast page.
- Narrated, under the presentation time limit, and stored somewhere accessible offline.","High","","EP14 Documentation & FYP Report","3","docs","demo","w16","",""
"Task","Viva preparation Q&A document","Prepare answers to the questions that are always asked.

Acceptance criteria:
- Written answers for: cold-start handling, why hybrid over pure CF, why LightGBM over ARIMA,
  how data leakage was prevented, why a temporal split, how the system was evaluated,
  why synthetic data was used and how it was disclosed, what happens when the ML service fails.
- Each answer points to the code or figure that proves it.
- Rehearsed as a mock viva with the team.","Highest","","EP14 Documentation & FYP Report","5","docs","w16","","",""
